state,democrat_start_date,democrat_end_date,democrat_total_sample_size,democrat_pct,democrat_num_respondents,republican_start_date,republican_end_date,republican_total_sample_size,republican_pct,republican_num_respondents,"Although you are undecided, which candidate do you lean toward? Donald Trump",Can you please tell me your gender? Female,Can you please tell me your gender? Male,Can you please tell me your gender? Nonbinary or other,Do you approve or disapprove of the job Joe Biden is doing as President? Approve,Do you approve or disapprove of the job Joe Biden is doing as President? Disapprove,Do you approve or disapprove of the job Joe Biden is doing as President? Neutral or no opinion,"For statistical purposes only, can you please tell me your ethnicity? Asian","For statistical purposes only, can you please tell me your ethnicity? Black or African American","For statistical purposes only, can you please tell me your ethnicity? Hispanic or Latino of any race","For statistical purposes only, can you please tell me your ethnicity? Other or multiple races","For statistical purposes only, can you please tell me your ethnicity? White or Caucasian","How likely are you to vote in the November, 2024 Presidential election? Very likely",In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Donald Trump,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Joe Biden,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Undecided,"In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Cornel West","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Donald Trump","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Jill Stein","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Joe Biden","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Robert Kennedy","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Undecided",Mode Landline,Mode Mobile,Mode Online panel,What is the highest level of education you have attained? Associate Degree/some college,What is the highest level of education you have attained? College graduate,What is the highest level of education you have attained? High school or less,What is the highest level of education you have attained? Postgraduate or higher,What is the highest level of education you have attained? Vocational/technical school,What is your age range? 18-29 years,What is your age range? 30-39 years,What is your age range? 40-49 years,What is your age range? 50-59 years,What is your age range? 60-69 years,What is your age range? 70 or more years,What is your party registration? Democrat,What is your party registration? Independent/other,What is your party registration? Republican,Who did you vote for in the 2020 election? Did not vote,Who did you vote for in the 2020 election? Donald Trump,Who did you vote for in the 2020 election? Joe Biden,Who did you vote for in the 2020 election? Someone else
Minnesota,2024-06-13,2024-06-18,2000,51,919,2024-06-13,2024-06-18,2000,49,906,NA,52.5,46.7,0.8,40.4,46.5,13.1,4.4,12,11.1,4.2,68.3,NA,39.4,45.7,14.9,1.2,35.8,0.8,41,7.5,13.7,27.5,26.7,45.8,27.7,30.1,17.7,18.1,6.4,11.1,15.3,13.9,20.6,20.1,19,38.2,38,23.8,9,35.8,51.8,3.4
New Jersey,2024-03-26,2024-03-29,2000,45.7,867,2024-03-26,2024-03-29,2000,39.4,752,NA,50.8,48.6,NA,NA,NA,NA,1.8,10.2,5.2,5.1,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,21.1,24.7,12.9,11.9,NA,NA,NA,NA,NA,16.6,NA,NA,NA,17.8,45.9,31.9,4.3
South Carolina,2024-02-14,2024-02-16,1197,36.7,439,2024-02-14,2024-02-16,1197,50.6,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2024-01-23,2024-01-28,1856,41,761,2024-01-23,2024-01-28,1856,35,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,2024-01-23,2024-01-28,1777,26.4,469,2024-01-23,2024-01-28,1777,55.3,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,2023-12-15,2023-12-17,1094,39.6,433,2023-12-15,2023-12-17,1094,48.2,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,2023-10-01,2023-10-04,490,25.8,126,2023-10-01,2023-10-04,490,54.5,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2023-10-01,2023-10-04,487,31,151,2023-10-01,2023-10-04,487,47,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,2023-10-01,2023-10-04,539,22.5,121,2023-10-01,2023-10-04,539,59.3,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,2023-10-01,2023-10-04,423,30.9,131,2023-10-01,2023-10-04,423,46.8,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,2023-10-01,2023-10-04,419,17,71,2023-10-01,2023-10-04,419,54,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2023-10-01,2023-10-04,468,43.4,203,2023-10-01,2023-10-04,468,33.7,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2023-10-01,2023-10-04,435,24.4,106,2023-10-01,2023-10-04,435,56.6,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,2023-10-01,2023-10-04,478,14.8,71,2023-10-01,2023-10-04,478,67.6,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,2023-10-01,2023-10-04,410,22,90,2023-10-01,2023-10-04,410,55.3,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,2023-10-01,2023-10-03,450,26.3,118,2023-10-01,2023-10-03,450,54.6,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2023-10-01,2023-10-03,447,27,121,2023-10-01,2023-10-03,447,55,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2022-10-31,2022-11-01,975,50.7,494,2022-10-31,2022-11-01,975,35.3,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,2022-10-25,2022-10-28,825,33.6,277,2022-10-25,2022-10-28,825,47,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2022-10-19,2022-10-21,1000,49.4,494,2022-10-19,2022-10-21,1000,40,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2022-09-30,2022-10-01,782,49.4,386,2022-09-30,2022-10-01,782,38.7,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,2022-09-19,2022-09-20,1164,50.9,592,2022-09-19,2022-09-20,1164,40.1,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,2022-09-07,2022-09-08,708,54,382,2022-09-07,2022-09-08,708,33.7,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
