state,"Although you are undecided, which candidate do you lean toward? Donald Trump",Can you please tell me your gender? Female,Can you please tell me your gender? Male,Can you please tell me your gender? Nonbinary or other,Do you approve or disapprove of the job Joe Biden is doing as President? Approve,Do you approve or disapprove of the job Joe Biden is doing as President? Disapprove,Do you approve or disapprove of the job Joe Biden is doing as President? Neutral or no opinion,"For statistical purposes only, can you please tell me your ethnicity? Asian","For statistical purposes only, can you please tell me your ethnicity? Black or African American","For statistical purposes only, can you please tell me your ethnicity? Hispanic or Latino of any race","For statistical purposes only, can you please tell me your ethnicity? Other or multiple races","For statistical purposes only, can you please tell me your ethnicity? White or Caucasian","How likely are you to vote in the November, 2024 Presidential election? Very likely",In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Donald Trump,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Joe Biden,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Undecided,"In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Cornel West","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Donald Trump","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Jill Stein","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Joe Biden","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Robert Kennedy","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Undecided",Mode Landline,Mode Mobile,Mode Online panel,What is the highest level of education you have attained? Associate Degree/some college,What is the highest level of education you have attained? College graduate,What is the highest level of education you have attained? High school or less,What is the highest level of education you have attained? Postgraduate or higher,What is the highest level of education you have attained? Vocational/technical school,What is your age range? 18-29 years,What is your age range? 30-39 years,What is your age range? 40-49 years,What is your age range? 50-59 years,What is your age range? 60-69 years,What is your age range? 70 or more years,What is your party registration? Democrat,What is your party registration? Independent/other,What is your party registration? Republican,Who did you vote for in the 2020 election? Did not vote,Who did you vote for in the 2020 election? Donald Trump,Who did you vote for in the 2020 election? Joe Biden,Who did you vote for in the 2020 election? Someone else
Wisconsin,49.786960176247455,51.9,47.1,1,49.7,40.6,9.7,6.1,9.3,31,4.5,49.1,100,55.6,35,9.4,1.3,30.7,0.8,48.9,7.7,10.5,34.4,28.8,69.7,28.6,28.7,19.5,15.2,8,13.4,19.7,17,19.9,17.9,12,46.9,29.2,23.9,9.4,28.7,58.2,3.7
Maryland,56.71710882509062,49.3,49.2,1.5,28,61.6,10.4,1.1,1.9,4.4,4.7,87.9,NA,55.6,35,9.4,1.1,48.5,0.7,28.3,8.2,13.3,34.4,28.8,69.7,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,46.9,29.2,23.9,9.7,51.8,36.6,1.9
Missouri,55.17453397430766,49.3,49.2,1.5,28,61.6,10.4,1.1,1.9,4.4,4.7,87.9,100,55.6,35,9.4,1.1,48.5,0.7,28.3,8.2,13.3,34.4,28.8,69.7,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,46.9,29.2,23.9,9.7,51.8,36.6,1.9
Indiana,56.4,51.9,47.1,1,49.7,40.6,9.7,6.1,9.3,31,4.5,49.1,100,55.6,35,9.4,1.3,30.7,0.8,48.9,7.7,10.5,34.4,28.8,69.7,28.6,28.7,19.5,15.2,8,13.4,19.7,17,19.9,17.9,12,46.9,29.2,23.9,9.4,28.7,58.2,3.7
California,55.4,49.3,49.2,1.5,28,61.6,10.4,1.1,1.9,4.4,4.7,87.9,88.77053484753378,55.6,35,9.4,1.1,48.5,0.7,28.3,8.2,13.3,25.6,28.8,69.7,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,31.9,29.6,38.5,9.7,51.8,36.6,1.9
Florida,46.43093649490436,49.3,49.2,1.5,28,61.6,10.4,1.1,1.9,4.4,4.7,87.9,88.77053484753378,55.6,35,9.4,1.1,48.5,0.7,28.3,8.2,13.3,28.170053296095904,28.8,69.7,33.5,18.6,25.5,12.3,10.2,19.4,15.1,15.1,17.1,16.1,17.1,43.00000000013709,25.89999999989448,31.099999999968443,9.7,51.8,36.6,1.9
Ohio,46.43093649490436,53.00000000027659,46.70000000018542,0.29999999953799616,46.32627917977479,45.800431005520934,7.873289814704296,0.8447729669985738,2.9567053851890663,32.523759239878366,8.764519535221265,54.910242872712665,88.77053484753378,NA,NA,NA,0.1711350435301897,40.16170735203519,0.3474726429234902,NA,NA,4.727103250775639,28.170053296095904,42.065791440253435,29.76415526365073,37.10000000022956,20.50000000001078,18.499999999978893,15.09999999993544,8.7999999998453209,16.99999999999711,13.999999999994856,14.084507042173213,19.11468812875864,20.52313883300532,20.120724346082778,43.00000000013709,25.89999999989448,31.099999999968443,5.799999999735257,40.20000000020634,51.40000000036857,2.599999999689839
New Mexico,52,51.40000000003664,47.60000000003099,0.9999999999321856,38.79362388712863,52.57473768660294,8.631638426268308,1.3842275843427734,2.127534951761846,3.850143431449348,3.552503648595388,89.0855903838506,90.5616186024988,47.2,42.7,10.1,0.2828421299298148,41.44528413801067,0.7665551308336557,39.3,7.7,4.035715462146874,29.5,66.96879268823692,33.031207311762884,26.900000000012287,25.100000000012653,19.999999999998128,17.39999999999709,10.599999999979634,16.99999999999711,13.999999999994856,14.999999999998398,21.000000000009077,20.000000000006946,12.999999999993369,29.999999999991793,39.00000000001473,30.99999999999337,3.89999999995847,43.50000000003672,50.800000000052115,1.799999999952525
Montana,52,51.8,47,1.2,35.9,54.3,9.8,2.2,2.6,18.7,5.3,71.2,84.9,47.2,42.7,10.1,0.7,42.7,1.2,39.3,7.7,8.4,29.5,31.1,33.031207311762884,31,23.8,24.1,11.7,9.3,16,13,14,18,19,20,30,35.8,34.2,9.1,43.7,43.9,3.3
New Hampshire,52,52.5,46.7,0.8,40.4,46.5,13.1,4.4,12,11.1,4.2,68.3,84.9,39.4,45.7,14.9,1.2,35.8,0.8,41,7.5,13.7,27.5,26.7,45.8,27.7,30.1,17.7,18.1,6.4,11.1,15.3,13.9,20.6,20.1,19,38.2,38,23.8,9,35.8,51.8,3.4
Minnesota,NA,52.5,46.7,0.8,40.4,46.5,13.1,4.4,12,11.1,4.2,68.3,NA,39.4,45.7,14.9,1.2,35.8,0.8,41,7.5,13.7,27.5,26.7,45.8,27.7,30.1,17.7,18.1,6.4,11.1,15.3,13.9,20.6,20.1,19,38.2,38,23.8,9,35.8,51.8,3.4
New Jersey,NA,50.8,48.6,NA,NA,NA,NA,1.8,10.2,5.2,5.1,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,21.1,24.7,12.9,11.9,NA,NA,NA,NA,NA,16.6,NA,NA,NA,17.8,45.9,31.9,4.3
South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
